symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
UNIDOWNUSDT,0.00000000,0.000,0.00000000,2.17200000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670821099195,1670907499195,-1,-1,0
ORNUSDT,-0.01300000,-1.100,1.19069041,1.18200000,1.16900000,23.10000000,1.16800000,427.80000000,1.16900000,344.60000000,1.18200000,1.25000000,1.13200000,1764160.00000000,2100568.39620000,1676939597723,1677025997723,15840643,15853548,12906
UTKUSDT,-0.01010000,-7.560,0.12767686,0.13380000,0.12350000,6656.00000000,0.12340000,528.00000000,0.12350000,6237.00000000,0.13360000,0.13470000,0.12140000,9823468.00000000,1254229.56160000,1676939422134,1677025822134,17334392,17342182,7791
XVSUSDT,-0.31000000,-4.784,6.21565914,6.47000000,6.17000000,61.21000000,6.17000000,107.60000000,6.18000000,487.15000000,6.48000000,6.54000000,5.99000000,264181.05000000,1642059.35860000,1676939527308,1677025927308,47122290,47131498,9209
ALPHAUSDT,0.00370000,2.457,0.15449869,0.15060000,0.15430000,428.00000000,0.15430000,1473.00000000,0.15450000,1730.00000000,0.15060000,0.16300000,0.14490000,60838362.00000000,9399447.34590000,1676939598836,1677025998836,39170511,39216606,46096
AAVEUSDT,-4.20000000,-4.575,89.47860155,91.90000000,87.60000000,131.87300000,87.60000000,317.39700000,87.70000000,99.63000000,91.80000000,92.80000000,85.60000000,141389.57800000,12651341.71350000,1676939597100,1677025997100,97346427,97393235,46809
NEARUSDT,-0.13100000,-4.872,2.59260037,2.68900000,2.55800000,11.30000000,2.55700000,7025.90000000,2.55800000,103.10000000,2.68900000,2.71500000,2.48900000,16946107.80000000,43934485.40690000,1676939599152,1677025999152,121095088,121197380,102293
SXPUPUSDT,0.00000000,0.000,0.00000000,0.17426000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670821326296,1670907726296,-1,-1,0
SXPDOWNUSDT,0.00000000,0.000,0.00000000,0.08950000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820737974,1670907137974,-1,-1,0
FILUSDT,-0.41100000,-4.847,8.12274987,8.48000000,8.06900000,9.33000000,8.06900000,28.54000000,8.07000000,1925.25000000,8.48000000,8.55900000,7.67000000,19592123.06000000,159141915.10663000,1676939600024,1677026000024,161072770,161417095,344326
FILUPUSDT,0.00000000,0.000,0.00000000,0.15150000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670821575039,1670907975039,-1,-1,0
FILDOWNUSDT,0.00000000,0.000,0.00000000,0.00076660,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670822590396,1670908990396,-1,-1,0
YFIUPUSDT,0.00000000,0.000,0.00000000,0.11690000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670822023461,1670908423461,-1,-1,0
